,0
0,1.0
1,1.0
2,1.0
3,0.9990492833199851
4,1.0
5,0.999049702614165
6,1.0
7,0.9990492833199851
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.9990492833199851
15,1.0
16,0.999049702614165
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,0.9990492833199851
23,1.0
24,0.9990492833199851
25,0.999049702614165
26,1.0
27,1.0
28,0.9990492833199851
29,1.0
30,0.9990492833199851
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,0.9990492833199851
37,0.9990492833199851
38,0.999049702614165
39,1.0
40,1.0
41,1.0
42,1.0
43,0.9990492833199851
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,0.9990492833199851
51,0.999049702614165
52,0.9990492833199851
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,0.9990492833199851
62,1.0
63,1.0
64,0.9990492833199851
65,1.0
66,1.0
67,1.0
68,0.9990492833199851
69,1.0
70,1.0
71,0.9990492833199851
72,1.0
73,1.0
74,0.9990492833199851
75,1.0
76,1.0
77,0.9990492833199851
78,0.9990492833199851
79,0.9990492833199851
80,1.0
81,1.0
82,0.9990492833199851
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,0.9990492833199851
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,0.9990492833199851
98,1.0
99,1.0
